Source,Station,Latitude,Longitude
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437
USGS_CAWSC,USGS-11303500,37.6760406,-121.2663293
USGS_CAWSC,USGS-11455508,38.04953056,-121.88755
USGS_CAWSC,USGS-381142122015801,38.19489444,-122.0328139
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222
USGS_CAWSC,USGS-11447890,38.25769218,-121.5182865
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175
USGS_CAWSC,USGS-11455095,38.47686944,-121.5836417
USGS_CAWSC,USGS-380631122032201,38.10853056,-122.0559806
USGS_CAWSC,USGS-11311300,37.9925,-121.4538889
USGS_CAWSC,USGS-11313460,38.05944444,-121.5572222
USGS_CAWSC,USGS-11336685,38.2233333,-121.5072222
USGS_CAWSC,USGS-382010121402301,38.33616667,-121.672925
USGS_CAWSC,USGS-11313405,37.96992306,-121.572174
USGS_CAWSC,USGS-11312685,38.00305556,-121.5108333
USGS_CAWSC,USGS-11455276,38.3078583,-121.6924278
DWR_EMP,C10A,37.67934,-121.2647
DWR_EMP,C9,37.83095,-121.554
DWR_EMP,D10,38.04631,-121.9183
DWR_EMP,D12,38.02161,-121.8063
DWR_EMP,D16,38.0969,-121.6691
DWR_EMP,D19,38.04376,-121.6148
DWR_EMP,D22,38.08453,-121.7391
DWR_EMP,D26,38.07664,-121.5669
DWR_EMP,D28A,37.97048,-121.573
DWR_EMP,D4,38.06248,-121.8205
DWR_EMP,D41,38.03022,-122.3729
DWR_EMP,D41A,38.08472,-122.3907
DWR_EMP,D6,38.04436,-122.1177
DWR_EMP,D7,38.11714,-122.0397
DWR_EMP,D8,38.05992,-121.99
DWR_EMP,MD10A,38.04226,-121.4199
DWR_EMP,NZ002,38.06529,-122.2152
DWR_EMP,NZ004,38.03576,-122.1616
DWR_EMP,NZ032,38.16991,-122.0211
DWR_EMP,NZ068,38.14272,-121.6895
DWR_EMP,NZ325,38.05798,-122.2919
DWR_EMP,NZS42,38.18045,-122.0476
DWR_EMP,P8,37.97817,-121.3823
DWR_EMP,EZ2,38.054538,-121.873511
DWR_EMP,EZ2,38.070415,-121.77857
DWR_EMP,EZ2,38.067968,-121.782238
DWR_EMP,EZ2,38.087031,-121.747001
DWR_EMP,EZ2,38.107538,-121.714945
DWR_EMP,EZ2,38.11555,-121.70688
DWR_EMP,EZ2,38.09494,-121.73506
DWR_EMP,EZ6,38.048785,-121.919055
DWR_EMP,EZ6,38.063383,-121.827268
DWR_EMP,EZ6,38.065125,-121.841436
DWR_EMP,EZ6,38.065698,-121.835
DWR_EMP,EZ6,38.06919,-121.77896
DWR_EMP,EZ6,38.089783,-121.74205
DWR_EMP,EZ6,38.06209,-121.8174
DWR_EMP,EZ2-SJR,38.02171,-121.80791
DWR_EMP,EZ2-SJR,38.028141,-121.737145
DWR_EMP,EZ2-SJR,38.05489,-121.687173
DWR_EMP,EZ2-SJR,38.04785,-121.695857
DWR_EMP,EZ2-SJR,38.03501,-121.708326
DWR_EMP,EZ6-SJR,38.026166,-121.778143
DWR_EMP,EZ6-SJR,38.027825,-121.76056
DWR_EMP,EZ6-SJR,38.024758,-121.791615
DWR_EMP,EZ6-SJR,38.021318,-121.80704
DWR_EMP,C3A,38.36771,-121.5205
DWR_EMP,EZ2,38.106818,-121.716593
DWR_EMP,EZ6,38.080313,-121.7589
DWR_EMP,EZ2-SJR,38.04419,-121.696307
DWR_EMP,EZ6-SJR,38.024423,-121.79298
DWR_EMP,EZ2,38.128298,-121.696146
DWR_EMP,EZ2,38.131188,-121.69479
DWR_EMP,EZ2,38.12801,-121.69573
DWR_EMP,EZ6,38.086423,-121.746951
DWR_EMP,EZ6,38.08693,-121.74677
DWR_EMP,EZ6,38.08668,-121.74859
DWR_EMP,EZ2-SJR,38.07847,-121.6781
DWR_EMP,EZ2-SJR,38.05247,-121.689591
DWR_EMP,EZ6-SJR,38.02796,-121.7621
DWR_EMP,EZ6-SJR,38.02544,-121.781581
DWR_NCRO,BET,38.033354,-121.61984
DWR_NCRO,FAL,38.055469,-121.667129
DWR_NCRO,FCT,38.065612,-121.647933
DWR_NCRO,GLE,37.82025,-121.434861
DWR_NCRO,DGL,37.814722,-121.425222
DWR_NCRO,HOL,38.015821,-121.582124
DWR_NCRO,MHR,37.877,-121.384
DWR_NCRO,MRU,37.8339408,-121.3857561
DWR_NCRO,HLT,38.003081,-121.510933
DWR_NCRO,MRX,37.881425,-121.467399
DWR_NCRO,MIR,38.2360319,-121.6660681
DWR_NCRO,ORI,37.8318014,-121.5351036
DWR_NCRO,OBD,37.810963,-121.543938
DWR_NCRO,ORM,37.7938408,-121.5173813
DWR_NCRO,OH1,37.807595,-121.331218
DWR_NCRO,OBI,37.968979,-121.572694
DWR_NCRO,ORX,37.8109972,-121.386575
DWR_NCRO,OSJ,38.071247,-121.578382
DWR_NCRO,PDC,37.8020598,-121.4122564
DWR_NCRO,RSL,37.976311,-121.637596
DWR_NCRO,SOI,38.175591,-121.656919
DWR_NCRO,BLP,38.0325,-121.719083
DWR_NCRO,SXS,38.1912721,-121.6378941
DWR_NCRO,SGA,37.79286,-121.421495
DWR_NCRO,TSL,38.103248,-121.686169
DWR_NCRO,TRN,37.992533,-121.454032
DWR_NCRO,VCU,37.870944,-121.53
DWR_NCRO,WCI,37.8316051,-121.5540131
DWR_NCRO,LIS,38.474781,-121.588226
