site,year,veg_type,area_ha,area_prop_h,area_prop_w
Big Break,2004,sav,318.59,0.3905437873884476,0.45906340057636885
Big Break,2004,fav,14.89,0.018252917524762186,0.021455331412103748
Big Break,2005,sav,270.01,0.3315324828407598,0.38906340057636885
Big Break,2005,fav,14.11,0.017325000306963153,0.020331412103746397
Big Break,2006,sav,474.16,0.5825777122496621,0.6832276657060519
Big Break,2006,fav,15.13,0.018589507310480403,0.021801152737752162
Big Break,2007,sav,285.25,0.3495196784786551,0.41102305475504325
Big Break,2007,fav,6.56,0.008038033622506494,0.009452449567723342
Big Break,2008,sav,45.72,0.05601705506138352,0.06587896253602306
Big Break,2008,fav,7.859999999999999,0.009630228626038373,0.01132564841498559
Big Break,2011,sav,107.29,0.13084944203914875,0.15459654178674354
Big Break,2011,fav,29.25,0.03567290688456613,0.04214697406340057
Big Break,2014,sav,127.59,0.1563028298419699,0.18384726224783862
Big Break,2014,fav,66.81,0.08184490995957369,0.09626801152737753
Big Break,2015,sav,328.47,0.40210312408187254,0.473299711815562
Big Break,2015,fav,58.49,0.07160170404465772,0.08427953890489914
Big Break,2016,sav,395.48,0.48471626424806963,0.5698559077809798
Big Break,2016,fav,56.6,0.06937124647628386,0.08155619596541787
Big Break,2017,sav,495.26,0.6083303649294338,0.7136311239193084
Big Break,2017,fav,57.51,0.07063982410671514,0.08286743515850144
Big Break,2018,sav,430.56,0.5252461176240957,0.6204034582132565
Big Break,2018,fav,50.739999999999995,0.06189842997084405,0.07311239193083573
Big Break,2019,sav,414.99,0.5111154902516226,0.5979682997118155
Big Break,2019,fav,42.49,0.05233209759462022,0.061224783861671475
Big Break,2020,sav,481.74,0.5988588192881916,0.694149855907781
Big Break,2020,fav,40.32,0.05012244695001429,0.05809798270893372
Big Break,2021,sav,234.77,0.2953824861600403,0.33828530259365996
Big Break,2021,fav,33.849999999999994,0.04258933064921992,0.048775216138328525
Big Break,2022,sav,107.41,0.13107572152053204,0.15476945244956772
Big Break,2022,fav,36.13,0.044090548538653976,0.05206051873198848
Clifton Court,2004,sav,10.45,0.011429883951130409,0.01130952380952381
Clifton Court,2004,fav,0,0,0
Clifton Court,2005,sav,17.88,0.019711384757852033,0.01935064935064935
Clifton Court,2005,fav,0,0,0
Clifton Court,2006,sav,1.41,0.0015422308752433662,0.001525974025974026
Clifton Court,2006,fav,0,0,0
Clifton Court,2007,sav,0.12,1.3123359580052493e-4,1.2987012987012987e-4
Clifton Court,2007,fav,0.01,1.0936132983377079e-5,1.0822510822510823e-5
Clifton Court,2008,sav,35.24,0.038523765796493074,0.03813852813852814
Clifton Court,2008,fav,0.08,8.745463290917836e-5,8.658008658008658e-5
Clifton Court,2010,sav,127.39,0.137945597089271,0.13786796536796536
Clifton Court,2010,fav,0,0,0
Clifton Court,2011,sav,94.16,0.10192792734279436,0.1019047619047619
Clifton Court,2011,fav,0.01,1.082497104320246e-5,1.0822510822510823e-5
Clifton Court,2014,sav,66.79,0.07280119464155303,0.0722835497835498
Clifton Court,2014,fav,0.18,1.9620025506033155e-4,1.948051948051948e-4
Clifton Court,2015,sav,324.21,0.3537788350319722,0.35087662337662334
Clifton Court,2015,fav,0.39,4.2556906222037934e-4,4.220779220779221e-4
Clifton Court,2019,sav,519.49,0.5660720706977149,0.5622186147186147
Clifton Court,2019,fav,0.36,3.922807858691743e-4,3.896103896103896e-4
Clifton Court,2020,sav,182.39,0.20014484960879628,0.19739177489177487
Clifton Court,2020,fav,2.9299999999999997,0.0032152223770698673,0.0031709956709956707
Clifton Court,2021,sav,299.29,0.32440547161221794,0.3239069264069264
Clifton Court,2021,fav,0.3,3.251750525699668e-4,3.246753246753247e-4
Clifton Court,2022,sav,49.88,0.054051125342695835,0.053982683982683986
Clifton Court,2022,fav,0.45,4.8763044114300577e-4,4.87012987012987e-4
Delta Common Area,2004,sav,2187.04,13.88,0.13432256479547966
Delta Common Area,2004,fav,474.3,3.01,0.029130327969536914
Delta Common Area,2005,sav,1941.02,12.32,0.11921262744134627
Delta Common Area,2005,fav,304.48,1.93,0.018700405355607422
Delta Common Area,2006,sav,2245.62,14.26,0.13792040289890675
Delta Common Area,2006,fav,488.62,3.1,0.030009826802604105
Delta Common Area,2007,sav,2100.22,13.33,0.12899029603242843
Delta Common Area,2007,fav,290.73,1.85,0.017855914506817346
Delta Common Area,2008,sav,934.5,5.93,0.057394668959587274
Delta Common Area,2008,fav,265.68,1.69,0.016317405724112517
Delta Common Area,2014,sav,1847.77,11.73,0.11348544404864268
Delta Common Area,2014,fav,895.16,5.68,0.05497850386930352
Delta Common Area,2015,sav,3166.89,20.1,0.1945025181181673
Delta Common Area,2015,fav,609.25,3.87,0.037418621790934775
Delta Common Area,2016,sav,2863.92,18.18,0.1758948532121361
Delta Common Area,2016,fav,637.21,4.05,0.03913585554600172
Delta Common Area,2017,sav,4272.15,27.12,0.26238484215698316
Delta Common Area,2017,fav,775.49,4.92,0.04762866969659747
Delta Common Area,2018,sav,4222,26.8,0.25930475371575973
Delta Common Area,2018,fav,635,4.03,0.03900012283503255
Delta Common Area,2019,sav,3522.45,22.36,0.21634013020513448
Delta Common Area,2019,fav,713.69,4.53,0.04383306719076281
Delta Common Area,2020,sav,3447.97,21.89,0.21176575359292468
Delta Common Area,2020,fav,654.07,4.15,0.04017135487040904
Delta Common Area,2021,sav,4304.31,27.33,0.2643600294804078
Delta Common Area,2021,fav,411.49,2.61,0.02527269377226385
Delta Common Area,2022,sav,3206.79,20.36,0.1969530770175654
Delta Common Area,2022,fav,426.06,2.7,0.02616754698439995
Delta Common Area,NA,sav,NA,NA,NA
Delta Common Area,NA,fav,NA,NA,NA
Franks Tract,2004,sav,737.29,0.427345126588148,0.40004883342376557
Franks Tract,2004,fav,13.629999999999999,0.007900166929425948,0.007395550732501356
Franks Tract,2005,sav,368.75,0.2137854666465684,0.20008138903960934
Franks Tract,2005,fav,12.5,0.007246964971070116,0.006782419967444384
Franks Tract,2006,sav,509.01,0.29425604976240305,0.2761855670103093
Franks Tract,2006,fav,10.28,0.0059428148593495276,0.005577862181226261
Franks Tract,2007,sav,481.17,0.2778005507860537,0.26107976125881716
Franks Tract,2007,fav,5.24,0.0030252818881453987,0.002843190450352686
Franks Tract,2008,sav,17.44,0.010066842913381282,0.009462832338578406
Franks Tract,2008,fav,4.26,0.002458988005218134,0.002311448724905046
Franks Tract,2010,sav,61.62,0.03547842909208155,0.033434617471513835
Franks Tract,2010,fav,8.19,0.004715487410972864,0.00444384156266956
Franks Tract,2011,sav,66.54,0.038321546223133454,0.03610417797069995
Franks Tract,2011,fav,12.43,0.007158653735400493,0.0067444384156266956
Franks Tract,2014,sav,239.75,0.14493235482583935,0.13008681497558328
Franks Tract,2014,fav,59.019999999999996,0.035678446639503814,0.0320238741182854
Franks Tract,2015,sav,1107.39,0.6392968479390371,0.600862723819859
Franks Tract,2015,fav,56.41,0.03256552361159219,0.030607704829083014
Franks Tract,2016,sav,596.2,0.34415082141331577,0.32349430276722735
Franks Tract,2016,fav,40.93,0.023626456089310657,0.02220835594139989
Franks Tract,2017,sav,1277.61,0.7374840538215991,0.6932230059685295
Franks Tract,2017,fav,37.669999999999995,0.02174452634799323,0.020439500813890392
Franks Tract,2018,sav,1119.17,0.6449915570232312,0.6072544763971786
Franks Tract,2018,fav,36.22,0.020874035397108064,0.019652740097666845
Franks Tract,2019,sav,936.24,0.5465435313072818,0.5079978296256105
Franks Tract,2019,fav,32.89,0.019200009340229536,0.017845903418339665
Franks Tract,2020,sav,725.65,0.4211916301477204,0.39373304395008135
Franks Tract,2020,fav,34.230000000000004,0.019868241576457616,0.018572978838849705
Franks Tract,2021,sav,1045.66,0.6095152603231597,0.5673684210526316
Franks Tract,2021,fav,22.54,0.01313856699853109,0.012230059685295712
Franks Tract,2022,sav,616.87,0.3559159699744402,0.3347097124253934
Franks Tract,2022,fav,25.92,0.014955082824156614,0.014064026044492675
