Year,soil,water,sav,emergent,hyacinth,otherFAV,primrose,npv,riparian,shadow,emrwp,floating,aqua,pc_fav,pc_sav
2004,15.34,852.32,737.29,51.08,7.78,3.38,2.47,5.8,44.43,5.39,0,13.62,1608.62,0.85,46.13
2005,18.42,1215.2,368.75,56.3,6.9,3.68,1.92,4.93,43.76,5,0,12.49,1601.44,0.78,23.07
2006,18.7,1050.35,509.01,49.24,5.44,3.53,1.31,5.67,49.85,36.72,0,10.28,1606.35,0.64,31.85
2007,20.07,1117.04,481.17,38.98,1.12,2.46,1.66,2.83,62.21,4.53,0,5.24,1607.99,0.33,30.11
2008,13.96,1590.9,17.44,52.25,0.47,2.66,1.13,6.1,41.24,6.27,0,4.26,1618.87,0.27,1.09
2010,27.66,1521.33,61.62,59.97,8.19,0,0,7.74,50.32,0,0,8.19,1591.13,0.51,3.86
2011,25.2,1519.28,66.54,43.46,12.43,0,0,8.54,60.91,0,0,12.43,1598.25,0.78,4.16
2014,12.31,1148.16,239.75,64.76,39.25,0,19.77,1.26,49.38,79.58,0,59.02,1526.51,3.69,15
2015,22.27,392.36,1107.39,65.55,19.83,2.16,34.42,8.18,34.5,45.54,0,56.4,1601.68,3.53,69.29
2016,17.23,862.68,596.2,52.64,7.72,0,33.21,4.03,39.58,119.09,0,40.94,1618.92,2.56,37.31
2017,17.94,285.58,1277.61,68.73,4.69,0,32.98,1.94,29.14,13.78,0,37.67,1614.65,2.36,79.94
2018,16.84,450.86,1119.17,103.82,9.81,0,26.41,8.13,0,0.13,0,36.22,1606.38,2.27,70.03
2019,16.3,610.43,936.24,57.33,9.18,0,23.71,4.25,49.29,6.29,0,32.89,1585.85,2.06,58.58
2020,16.78,808.13,725.65,62.44,11.97,0,22.26,1.4,43.33,30.89,4.49,34.23,1598.9,2.14,45.41
2021,22.47,514.45,1045.66,54.88,3.02,0.43,19.09,4.4,44.74,6.42,20.53,22.54,1589.07,1.41,65.43
2022,22.18,922.42,627.58,73.03,1.73,0,23.23,2.29,41.69,20.44,0,24.96,1595.39,1.56,39.27
